time,Speed_Compact_Winter_Test1,Speed_Compact_Winter_Test2,Speed_Compact_Winter_Test3,Speed_Compact_Winter_Test4,Speed_Compact_Winter_Test5,Speed_Compact_AllSeason_Test1,Speed_Compact_AllSeason_Test2,Speed_Compact_AllSeason_Test3,Speed_Compact_AllSeason_Test4,Speed_Compact_AllSeason_Test5,Speed_Compact_Summer_Test1,Speed_Compact_Summer_Test2,Speed_Compact_Summer_Test3,Speed_Compact_Summer_Test4,Speed_Compact_Summer_Test5,Speed_Sedan_Winter_Test1,Speed_Sedan_Winter_Test2,Speed_Sedan_Winter_Test3,Speed_Sedan_Winter_Test4,Speed_Sedan_Winter_Test5,Speed_Sedan_AllSeason_Test1,Speed_Sedan_AllSeason_Test2,Speed_Sedan_AllSeason_Test3,Speed_Sedan_AllSeason_Test4,Speed_Sedan_AllSeason_Test5,Speed_Sedan_Summer_Test1,Speed_Sedan_Summer_Test2,Speed_Sedan_Summer_Test3,Speed_Sedan_Summer_Test4,Speed_Sedan_Summer_Test5,Speed_SUV_Winter_Test1,Speed_SUV_Winter_Test2,Speed_SUV_Winter_Test3,Speed_SUV_Winter_Test4,Speed_SUV_Winter_Test5,Speed_SUV_AllSeason_Test1,Speed_SUV_AllSeason_Test2,Speed_SUV_AllSeason_Test3,Speed_SUV_AllSeason_Test4,Speed_SUV_AllSeason_Test5,Speed_SUV_Summer_Test1,Speed_SUV_Summer_Test2,Speed_SUV_Summer_Test3,Speed_SUV_Summer_Test4,Speed_SUV_Summer_Test5
0,0.278,0.513,0.658,-1.17,0.919,-1.63,-0.035,-0.01,-0.514,0.084,-0.408,0.205,-0.163,0.089,0.183,-0.929,0.051,-0.085,0.116,-0.425,-0.684,0.847,0.461,-0.033,0.538,0.071,-1.102,-0.268,-1.001,0.668,0.682,0.107,-0.378,-0.28,0.227,-0.786,-1.717,-1.167,-1.036,0.661,-0.822,-0.002,-0.223,-0.086,-0.088
0.01,-0.174,0.906,0.267,0.406,-0.909,0.708,-1.126,-0.241,0.447,-0.158,0.172,0.308,0.988,-0.455,-0.226,-0.417,-0.161,0.387,-0.562,-0.867,-0.966,0.174,-0.406,-1.195,0.146,0.253,0.542,0.036,0.302,0.316,-0.078,-0.885,-0.381,-0.203,0.194,-0.321,-0.449,0.162,0.526,0.163,-0.313,-0.501,0.443,-0.225,0.713
0.02,-0.78,0.558,0.124,-0.611,NaN,0.028,-1.193,-0.372,-0.836,-1.254,1.148,0.326,-1.285,-0.719,-0.158,-0.535,0.192,-0.463,-0.042,-0.838,0.079,0.144,-0.38,-1.029,0.279,1.105,-0.928,-0.101,-1.173,0.799,0.12,-1.01,-0.599,0.796,0.401,-1.125,0.152,-0.148,-0.067,0.755,-0.842,-0.049,0.142,0.553,0.252
0.03,0.174,-0.063,-1.308,0.103,-0.629,-1.096,0.262,0.41,0.498,-0.277,-0.489,-1.022,0.086,-0.706,-0.774,-0.281,-0.3,0.242,0.498,0.108,-0.123,0.473,-0.146,0.111,-0.704,0.007,0.476,-0.003,-0.468,-0.561,-0.161,0.024,0.889,0.172,-0.461,-1.027,-0.866,0.135,-0.764,0.082,0.662,0.568,-0.186,0.126,0.603
0.04,0.178,0.642,0.111,-0.199,0.246,0.999,NaN,NaN,-0.555,-0.2,0.546,0.673,-0.898,-0.067,-0.039,-0.397,-0.891,-0.584,-0.19,-1.148,-0.874,0.257,-0.251,0.062,-0.225,0.589,0.104,-0.368,-0.46,0.282,-0.538,NaN,-0.223,0.027,0.107,-0.138,-0.519,-0.432,-0.431,0.109,0.014,-0.711,-0.283,-0.16,-0.11
0.05,0.488,0.884,-1.094,-0.874,-0.472,-1.449,0.125,-0.584,1.338,-0.485,0.439,0.674,-0.397,0.081,-0.586,-0.446,-0.626,-0.63,-0.402,-0.291,0.433,-0.392,0.301,NaN,0.194,0.329,0.35,-0.478,0.362,0.304,0.22,-0.582,-0.16,-0.262,-0.463,-1.023,0.618,-0.604,0.202,0.516,0.136,0.423,-0.356,-0.07,-1.076
0.06,0.55,0.129,0.496,0.707,0.784,-0.427,0.868,0.543,-0.655,-0.161,0.014,-0.144,0.746,-2.012,-1.02,0.019,-0.671,-0.165,-0.524,0.205,0.151,-0.811,0.035,-1.006,-0.131,0.602,0.285,-0.208,-1.336,1.436,-0.679,-0.411,-0.349,-0.441,-0.075,0.556,-0.272,-0.035,-0.126,0.423,0.077,0.186,-1.191,NaN,-0.278
0.07,-0.443,-0.273,0.142,0.754,1.389,-0.521,-0.159,-0.032,-0.724,0.01,-0.224,-0.308,0.401,-0.06,0.584,-0.322,-0.809,0.168,-0.199,-1.009,-0.819,0.781,0.093,-0.479,-0.094,-0.67,0.287,0.417,-0.319,0.222,-0.499,-0.611,-0.855,0.691,NaN,-0.189,-0.163,0.428,0.26,0.402,-1.158,0.422,0.035,0.462,-1.279
0.08,0.324,0.57,0.338,0.477,-0.585,0.232,-0.777,-0.083,0.436,-0.012,-1.299,-0.916,-1.175,-0.377,0.05,-0.879,-0.425,0.509,-0.449,-0.534,0.11,0.527,-0.205,0.06,-0.935,-0.438,-0.717,0.572,0.445,-0.68,0.629,-0.421,-0.428,-0.797,1.333,-1.004,-1.464,-0.426,-0.381,-0.541,-0.403,-0.214,-0.391,0.207,-0.423
0.09,0.57,0.962,0.484,0.319,-0.319,0.199,0.307,-0.427,-1.139,-0.094,-0.963,1.099,-0.378,0.1,-0.342,NaN,-1.197,0.449,-0.46,0.381,0.302,-1.065,0.391,0.326,-0.538,-0.343,0.389,-0.79,1.011,-0.925,-0.581,0.676,-0.248,-1.285,1.004,-0.924,-0.06,-0.107,0.674,0.21,-1.156,-0.367,-0.994,0.77,-1.17
