Time,Speed_Compact,Speed_Sedan,Speed_SUV
0,-1.74328510181025,-0.17,-0.643704420570131
0.01,-1.21428510181025,-1.08324144936641,0.084
0.02,0.574,-1.97924144936641,0.182
0.03,-1.054,0.653681087024804,0.423
0.04,0.046,0.655,-0.565
0.05,-1.37728510181025,-1.10724144936641,1.0267783154276
0.06,-0.124,0.004,-1.25870442057013
0.07,-0.986285101810248,1.1026810870248,0.228
0.08,0.064,0.59,-0.17
0.09,-0.707285101810248,-0.596,-0.543
0.1,-1.16228510181025,-1.14824144936641,0.466
0.11,-1.31428510181025,0.368,0.264
0.12,1.25021382635769,-0.745,1.4557783154276
0.13,-1.45928510181025,-0.461,0.1
0.14,-0.637,-0.371,-0.24
0.15,0.617213826357686,-2.03524144936641,0.121
0.16,0.045,0.06,1.2687783154276
0.17,-0.749285101810248,-0.197,-0.781704420570131
0.18,0.283,-1.19224144936641,0.458
0.19,0.518,-0.048,1.3897783154276
0.2,-1.10028510181025,-0.525,-0.745704420570131
0.21,0.022,-1.18224144936641,0.714
0.22,0.289,0.223,-0.173
0.23,0.374,0.306,-1.03270442057013
0.24,0.04,-0.703,-0.591704420570131
0.25,0.005,-0.831241449366405,-0.149
0.26,0.378,-1.01324144936641,0.739
0.27,0.846213826357686,-0.729,0.0247783154275983
0.28,-0.515,-0.099,0.13
0.29,-0.443,-0.18,0.371
0.3,-0.286,-0.727,0.426
0.31,-0.254,0.437,1.1307783154276
0.32,-0.969285101810248,-0.835,-0.349
0.33,0.095,-0.616241449366405,0.284
0.34,-0.556285101810248,1.1526810870248,0.173
0.35,-1.33728510181025,0.644681087024804,0.898
0.36,-0.843285101810248,0.192,0.004
0.37,-1.18728510181025,-0.480241449366405,0.41
0.38,-0.346,-1.78324144936641,0.238
0.39,0.577213826357686,-0.281,-1.00370442057013
0.4,-0.509,-1.01324144936641,0.419778315427598
0.41,-0.1,-0.578241449366405,-1.44270442057013
0.42,-1.61428510181025,0.405681087024804,2.0697783154276
0.43,-0.838,-0.556241449366405,0.212
0.44,0.187,0.458,0.703
0.45,-0.105,-1.48324144936641,0.246
0.46,-1.216,-1.025,-1.39370442057013
0.47,-0.435,-0.157,-0.24
0.48,-0.346,0.522681087024804,0.305778315427598
0.49,0.313,0.121,-1.12170442057013
0.5,-0.867285101810248,-0.054,-0.311704420570131
0.51,0.027,0.001,1.0557783154276
0.52,0.586,-0.131318912975196,1.2957783154276
0.53,0.467,0.078,-0.640704420570131
0.54,-0.743,-0.215,-0.515704420570131
0.55,-0.112,-0.278,0.172
0.56,0.104,0.596,-1.41170442057013
0.57,-0.872285101810248,-0.451,-1.31770442057013
0.58,-0.702285101810248,-0.139,-0.642704420570131
0.59,1.08921382635769,-0.06,0.988
0.6,-0.157,-0.793,-0.0557044205701311
0.61,-0.817,0.267681087024804,0.512778315427598
0.62,-0.573,-1.23724144936641,-0.154
0.63,-0.047,0.336681087024804,1.1187783154276
0.64,0.823213826357686,-0.315,-0.076
0.65,0.089,-0.546,0.964778315427598
0.66,0.711213826357686,1.3976810870248,0.094
0.67,-1.25728510181025,0.807,-0.562
0.68,-0.367,-0.264,0.351
0.69,0.748213826357686,0.031,-1.22970442057013
0.7,-0.22,-1.49924144936641,0.005
0.71,-0.864285101810248,-1.09024144936641,0.403
0.72,0.16,-0.06,0.472
0.73,0.511,-0.45,0.344
0.74,-1.05128510181025,-0.595,0.552
0.75,0.715,-0.157,0.136
0.76,-0.241,0.827681087024804,0.686
0.77,0.682,0.127,-0.869704420570131
0.78,-0.846285101810248,-0.002,-0.168
0.79,-0.026,0.108,-0.214704420570131
0.8,0.12,-0.374,-0.386
0.81,-1.07828510181025,0.582681087024804,-0.097
0.82,0.308,-0.736,0.258
0.83,-0.748285101810248,-1.26324144936641,0.313
0.84,-0.478,-1.86024144936641,0.046
0.85,0.08,-0.354,0.924778315427598
0.86,0.630213826357686,-1.00024144936641,-0.173704420570131
0.87,0.397,-1.10324144936641,-0.512
0.88,-1.38128510181025,-1.49024144936641,0.282
0.89,0.573213826357686,0.443681087024804,-0.705704420570131
0.9,-1.01728510181025,-0.294,0.757778315427598
0.91,0.194,0.293,-0.741704420570131
0.92,0.406,-0.202,-0.154
0.93,-0.614285101810248,1.2526810870248,-1.39670442057013
0.94,-0.29,-0.25,0.933778315427598
0.95,1.06421382635769,0.361,0.628
0.96,-1.29628510181025,-1.08524144936641,-0.06
0.97,0.264,-0.189,0.219
0.98,0.215,-0.64,0.318
0.99,-1.42328510181025,1.0436810870248,0.337
1,-0.501,0.462,0.005
1.01,-0.675,1.1886810870248,-0.297
1.02,-1.18728510181025,0.620681087024804,0.832778315427598
1.03,-1.49728510181025,0.525681087024804,0.457778315427598
1.04,-0.613,-0.893,0.61
1.05,0.467,0.15,0.375
1.06,-0.09,-0.606241449366405,0.345
1.07,0.155,0.613,-1.41970442057013
1.08,-0.336285101810248,-1.01324144936641,-1.07270442057013
1.09,-0.674,-0.383,1.021
1.1,0.26,-1.46924144936641,0.165
1.11,-0.072,0.243,0.284
1.12,-0.227,0.579681087024804,-1.11470442057013
1.13,-1.08728510181025,-1.05624144936641,1.0407783154276
1.14,0.414,-0.671,0.514
1.15,-0.669,-1.155,1.0677783154276
1.16,-1.74028510181025,1.4316810870248,0.553
1.17,-0.209,-1.55124144936641,0.121778315427598
1.18,0.132,-0.634,-0.510704420570131
1.19,-0.095,0.375681087024804,-0.540704420570131
1.2,-0.52,-0.739,0.581
1.21,0.547213826357686,0.327,0.11
1.22,0.331213826357686,0.219,-0.008
1.23,0.023,0.188,0.054
1.24,-0.871,-0.767,-0.301704420570131
1.25,0.307,-0.443,-0.533704420570131
1.26,-0.310285101810248,0.02,0.492
1.27,1.09921382635769,0.155681087024804,0.319
1.28,0.073,0.029,0.885
1.29,0.437213826357686,-0.285,0.398
1.3,0.635,0.592,-0.034
1.31,0.167,-0.165,0.591
